,country_of_origin,variety,aroma,aftertaste,acidity,body,balance,moisture,specialty
1198,Guatemala,Other,7.33,6.58,7.42,7.08,6.83,0.12,No
664,Colombia,Caturra,7.5,7.42,7.42,7.58,7.58,0.11,Yes
434,Brazil,Other,7.75,7.5,7.58,7.58,7.58,0.11,Yes
1012,Mexico,Typica,7.58,7.5,7.67,7.58,7.5,0.0,No
712,Brazil,Bourbon,8.25,7.25,8.33,8.17,8.08,0.07,No
404,Other,Caturra,7.67,7.42,7.67,7.67,7.67,0.12,Yes
922,Taiwan,Typica,7.5,7.25,7.25,7.33,7.33,0.11,No
711,Other,Other,7.5,7.42,7.5,7.42,7.42,0.12,No
716,Brazil,Bourbon,7.75,7.67,8.08,8.08,8.0,0.11,No
327,Guatemala,Bourbon,7.83,7.33,7.67,7.67,7.83,0.11,Yes
770,Taiwan,Typica,7.67,7.5,7.17,7.17,7.58,0.0,No
688,Brazil,Other,7.25,7.25,7.5,7.42,7.5,0.0,No
376,Guatemala,Bourbon,7.67,7.5,7.58,7.58,7.67,0.1,Yes
141,Other,Other,7.92,7.75,7.92,7.67,7.75,0.11,Yes
729,Guatemala,Bourbon,7.5,7.33,7.5,7.33,7.5,0.1,No
290,Mexico,Other,7.67,7.5,7.75,7.75,7.75,0.11,Yes
1104,Mexico,Caturra,7.58,7.17,7.25,6.75,7.0,0.11,No
11,Other,Other,8.25,8.17,8.33,8.08,8.17,0.0,Yes
591,Other,Other,7.5,7.42,7.67,7.5,7.5,0.11,Yes
1109,Mexico,Typica,7.33,6.92,7.42,7.25,7.08,0.11,No
67,Other,Other,7.83,7.83,7.92,7.83,8.08,0.12,Yes
823,Other,Other,7.67,7.42,7.33,7.75,7.42,0.0,No
864,Mexico,Other,7.42,7.17,7.67,7.33,7.42,0.13,No
551,Guatemala,Bourbon,7.83,7.25,7.92,7.5,7.17,0.11,Yes
1280,Mexico,Typica,7.0,6.75,6.92,7.17,6.83,0.14,No
655,Other,Caturra,7.58,7.33,7.5,7.5,7.5,0.1,Yes
161,Other,Caturra,7.92,7.83,7.83,7.58,7.58,0.11,Yes
699,Mexico,Bourbon,7.67,7.33,7.42,7.58,7.33,0.13,No
993,Mexico,Typica,7.25,7.33,7.33,7.17,7.33,0.13,No
1123,Other,Other,7.17,7.0,7.42,7.17,7.0,0.0,No
964,Other,Catuai,7.08,7.33,7.17,7.42,7.25,0.1,No
217,Other,Caturra,7.67,7.83,7.5,7.67,7.83,0.12,Yes
1201,Mexico,Other,6.75,6.67,7.25,7.17,7.08,0.12,No
1222,Mexico,Typica,7.08,6.83,7.0,7.0,6.92,0.12,No
1264,Guatemala,Bourbon,7.5,6.83,7.5,7.17,7.33,0.11,No
928,Mexico,Typica,7.5,7.25,7.5,7.42,7.58,0.11,No
515,Colombia,Caturra,7.33,7.75,7.42,7.75,7.58,0.11,Yes
198,Colombia,Caturra,7.83,7.75,7.58,7.92,7.75,0.12,Yes
955,Brazil,Other,7.17,7.42,7.25,7.42,7.33,0.12,No
80,Other,Other,8.0,7.92,8.08,7.83,7.75,0.0,Yes
460,Guatemala,Catuai,7.33,7.17,8.17,7.33,7.67,0.09,Yes
978,Other,Bourbon,7.58,7.17,7.33,7.33,7.25,0.12,No
159,Other,Other,7.92,7.67,7.75,7.83,7.75,0.11,Yes
1077,Guatemala,Bourbon,7.5,7.0,7.67,7.17,7.0,0.12,No
1002,Colombia,Caturra,7.67,7.42,5.25,7.67,7.75,0.0,No
967,Other,Other,7.33,7.17,7.5,7.25,7.42,0.13,No
309,Mexico,Caturra,7.83,7.58,7.5,7.75,7.67,0.13,Yes
982,Mexico,Typica,7.42,7.08,7.75,7.42,7.17,0.13,No
698,Mexico,Caturra,7.58,7.33,7.58,7.5,7.5,0.11,No
358,Other,Other,7.25,7.58,7.92,7.83,7.58,0.13,Yes
957,Other,Other,7.75,7.08,7.33,7.33,7.25,0.13,No
333,Guatemala,Caturra,7.67,7.33,8.0,7.67,7.67,0.1,Yes
47,Colombia,Caturra,7.75,7.83,8.08,8.08,8.17,0.12,Yes
564,Other,Other,7.25,7.5,7.42,7.75,7.42,0.11,Yes
330,Guatemala,Bourbon,7.67,7.5,7.42,7.58,7.83,0.11,Yes
196,Other,Other,7.83,7.58,7.75,7.75,7.75,0.1,Yes
1034,Mexico,Bourbon,7.5,7.33,7.25,7.17,7.17,0.13,No
724,Mexico,Typica,7.67,7.42,7.5,7.42,7.42,0.12,No
1115,Taiwan,Typica,7.42,7.25,7.17,7.0,7.0,0.07,No
891,Mexico,Bourbon,7.5,7.33,7.42,7.42,7.42,0.11,No
471,Brazil,Other,7.75,7.58,7.5,7.58,7.58,0.12,Yes
12,Other,Other,8.08,8.33,8.42,8.0,8.08,0.0,Yes
562,Other,Other,7.33,7.67,7.83,7.33,7.67,0.0,Yes
249,Colombia,Caturra,7.67,7.5,7.5,7.67,7.67,0.12,Yes
1281,Mexico,Typica,7.08,6.58,7.0,7.0,6.75,0.17,No
987,Brazil,Other,7.58,7.5,7.25,7.75,7.58,0.11,No
593,Other,Other,7.75,7.42,7.5,7.33,7.5,0.12,Yes
180,Other,Caturra,7.92,7.75,7.67,7.67,7.75,0.1,Yes
378,Other,Caturra,7.58,7.42,7.92,7.5,7.67,0.09,Yes
592,Colombia,Caturra,7.5,7.58,7.75,7.33,7.5,0.0,Yes
506,Brazil,Catuai,7.67,7.67,7.5,7.42,7.5,0.0,Yes
1024,Guatemala,Other,7.58,6.92,7.5,7.25,7.17,0.12,No
903,Guatemala,Bourbon,7.42,7.17,7.58,7.42,7.5,0.12,No
994,Mexico,Typica,7.33,7.33,7.42,7.25,7.42,0.12,No
773,Guatemala,Caturra,7.25,7.0,7.75,8.17,7.75,0.12,No
426,Colombia,Caturra,7.58,7.5,7.58,7.58,7.75,0.0,Yes
618,Mexico,Typica,7.67,7.42,7.5,7.42,7.5,0.11,Yes
130,Other,Caturra,8.17,7.83,7.17,7.83,7.75,0.12,Yes
951,Other,Caturra,7.5,7.0,7.17,7.5,7.33,0.11,No
974,Other,Caturra,7.5,7.33,7.17,7.08,7.17,0.11,No
674,Other,Other,7.42,7.17,7.58,7.58,7.5,0.12,No
1240,Guatemala,Bourbon,7.0,6.83,7.17,6.67,6.83,0.11,No
833,Guatemala,Bourbon,7.42,7.25,7.5,7.33,7.42,0.1,No
733,Colombia,Caturra,7.83,7.33,7.25,7.58,7.42,0.0,No
847,Brazil,Bourbon,7.33,7.25,7.17,7.83,7.33,0.11,No
1133,Mexico,Other,7.17,6.92,7.25,7.33,7.08,0.12,No
680,Other,Other,7.67,7.42,7.5,7.42,7.42,0.1,No
45,Brazil,Bourbon,8.33,8.0,8.0,7.75,8.0,0.11,Yes
1033,Mexico,Typica,7.33,7.33,7.33,7.25,7.17,0.11,No
721,Taiwan,Typica,7.5,7.5,7.5,7.5,7.5,0.11,No
440,Brazil,Bourbon,7.67,7.5,7.58,7.67,7.58,0.11,Yes
855,Mexico,Typica,7.33,7.25,7.5,7.5,7.5,0.12,No
63,Other,Bourbon,7.83,8.0,7.75,7.92,8.17,0.11,Yes
199,Colombia,Other,7.83,7.83,7.58,7.67,7.75,0.12,Yes
201,Other,Other,7.83,7.75,7.83,7.67,7.67,0.12,Yes
524,Guatemala,Bourbon,7.5,7.5,7.67,7.5,7.83,0.1,Yes
682,Other,Other,7.67,7.42,7.42,7.67,7.42,0.13,No
381,Other,Other,7.5,7.75,7.5,7.75,7.67,0.13,Yes
830,Mexico,Bourbon,7.67,7.33,7.83,7.5,7.5,0.12,No
1132,Mexico,Bourbon,7.33,7.08,7.33,7.42,7.17,0.12,No
377,Colombia,Caturra,7.67,7.5,7.67,7.67,7.58,0.11,Yes
703,Colombia,Caturra,7.33,7.17,7.58,7.42,7.58,0.0,No
288,Guatemala,Bourbon,7.5,7.5,7.83,7.83,7.67,0.11,Yes
512,Brazil,Other,7.75,7.42,7.67,7.42,7.67,0.12,Yes
375,Colombia,Caturra,7.5,7.58,7.5,7.75,7.83,0.0,Yes
101,Other,Other,7.75,7.75,8.08,8.0,7.75,0.0,Yes
363,Colombia,Caturra,7.75,7.33,7.5,7.83,7.83,0.0,Yes
1027,Taiwan,Typica,7.42,7.25,7.25,7.25,7.25,0.11,No
769,Taiwan,Typica,7.5,7.5,7.5,7.5,7.5,0.11,No
425,Taiwan,Typica,7.92,7.75,7.58,7.5,7.33,0.1,Yes
1022,Brazil,Bourbon,7.17,7.17,7.25,7.25,7.33,0.1,No
1163,Mexico,Other,6.92,7.17,7.17,7.08,7.08,0.0,No
880,Brazil,Bourbon,7.25,7.25,7.5,7.5,7.42,0.1,No
570,Colombia,Typica,7.5,7.58,7.5,7.58,7.58,0.0,Yes
730,Brazil,Other,7.58,7.42,7.5,7.5,7.42,0.12,No
339,Colombia,Caturra,7.67,7.58,7.67,7.75,7.58,0.12,Yes
1309,Guatemala,Catuai,7.5,6.67,7.67,7.33,6.67,0.1,No
580,Guatemala,Bourbon,7.5,7.17,7.67,7.67,7.58,0.11,Yes
466,Mexico,Other,7.58,7.42,7.67,7.5,7.58,0.14,Yes
1051,Guatemala,Bourbon,7.67,6.83,7.17,7.42,7.17,0.11,No
648,Colombia,Caturra,7.58,7.42,7.58,7.67,7.42,0.11,Yes
216,Colombia,Caturra,8.0,7.5,7.67,8.0,7.83,0.0,Yes
925,Mexico,Catuai,7.42,7.17,7.42,7.17,8.0,0.12,No
821,Other,Other,7.33,7.33,7.42,7.5,7.58,0.12,No
662,Brazil,Other,7.42,7.67,7.33,7.42,7.67,0.11,Yes
255,Other,Other,7.67,7.67,7.75,7.83,7.67,0.0,Yes
284,Guatemala,Bourbon,7.58,7.33,8.0,7.58,7.75,0.1,Yes
834,Other,Catuai,7.25,7.5,7.33,7.67,7.42,0.0,No
364,Other,Caturra,7.67,7.67,7.5,7.67,7.67,0.1,Yes
148,Guatemala,Other,7.75,7.67,7.92,7.75,7.83,0.11,Yes
165,Other,Other,7.92,7.67,8.0,7.67,7.75,0.11,Yes
1124,Mexico,Typica,7.58,7.42,7.5,7.5,7.5,0.0,No
98,Other,Catuai,7.83,7.58,7.92,7.92,7.83,0.12,Yes
854,Mexico,Bourbon,7.83,7.25,7.58,7.25,7.33,0.12,No
380,Other,Other,7.58,7.33,7.75,7.67,7.58,0.11,Yes
128,Other,Catuai,8.08,7.67,7.83,7.5,7.92,0.1,Yes
861,Other,Other,7.42,7.42,7.42,7.33,7.33,0.12,No
578,Guatemala,Caturra,7.5,7.42,7.67,7.58,7.5,0.1,Yes
225,Brazil,Other,7.58,7.75,7.67,7.67,8.0,0.11,Yes
353,Other,Caturra,7.92,7.5,7.67,7.5,7.67,0.0,Yes
22,Mexico,Other,8.17,8.17,8.0,7.83,8.17,0.13,Yes
1038,Other,Catuai,6.92,7.0,7.58,7.5,7.08,0.0,No
131,Other,Other,8.08,7.75,7.83,7.58,7.67,0.1,Yes
126,Other,Other,7.92,7.75,7.75,7.75,7.75,0.12,Yes
511,Other,Catuai,7.67,7.5,7.58,7.5,7.5,0.11,Yes
598,Colombia,Caturra,7.58,7.17,7.33,7.25,8.58,0.1,Yes
1015,Other,Other,7.17,7.5,7.5,8.0,7.75,0.11,No
914,Taiwan,Typica,7.5,7.33,7.08,7.58,7.25,0.12,No
1084,Mexico,Typica,6.92,7.08,7.5,7.33,7.17,0.1,No
924,Mexico,Typica,7.58,7.25,7.42,7.33,7.33,0.12,No
62,Other,Bourbon,7.92,8.0,7.92,7.75,7.83,0.1,Yes
615,Other,Other,7.5,7.5,7.5,7.5,7.58,0.12,Yes
806,Taiwan,Typica,7.42,7.33,7.42,8.0,7.5,0.12,No
315,Other,Other,8.08,7.67,7.58,7.25,7.67,0.11,Yes
48,Other,Other,7.92,7.83,8.5,7.5,7.92,0.11,Yes
1204,Mexico,Typica,7.33,6.75,7.08,7.17,7.25,0.12,No
1195,Mexico,Other,7.25,6.75,7.33,7.42,7.0,0.11,No
799,Other,Other,7.42,7.33,7.58,7.33,7.42,0.12,No
301,Colombia,Caturra,7.75,7.5,7.67,7.58,7.83,0.0,Yes
996,Mexico,Typica,7.42,7.25,7.42,7.17,7.25,0.1,No
270,Colombia,Caturra,7.67,7.67,7.75,7.67,7.83,0.12,Yes
1261,Mexico,Typica,6.67,6.42,6.83,7.0,6.92,0.0,No
790,Other,Other,7.67,7.17,7.08,7.67,7.08,0.12,No
92,Colombia,Caturra,7.83,7.75,7.75,7.83,7.83,0.11,Yes
565,Guatemala,Bourbon,7.58,7.33,7.67,7.67,7.5,0.11,Yes
125,Other,Bourbon,7.83,7.5,8.0,7.83,7.67,0.0,Yes
852,Brazil,Bourbon,7.75,7.5,7.42,7.83,7.75,0.12,No
65,Other,Caturra,8.0,7.83,7.83,7.67,8.58,0.09,Yes
1030,Other,Other,7.42,7.17,7.17,7.17,7.25,0.0,No
575,Guatemala,Bourbon,7.67,7.33,7.5,7.33,7.92,0.11,Yes
122,Other,Catuai,7.83,8.0,7.67,7.67,7.67,0.11,Yes
21,Other,Caturra,8.08,8.0,8.17,8.0,8.33,0.11,Yes
1211,Mexico,Bourbon,7.67,6.83,7.33,7.58,7.17,0.12,No
800,Other,Other,7.5,7.33,7.58,7.33,7.5,0.13,No
32,Brazil,Bourbon,8.5,8.0,7.75,8.0,8.0,0.12,Yes
419,Guatemala,Other,7.5,7.42,7.83,7.67,7.58,0.11,Yes
1120,Mexico,Typica,7.33,7.25,7.08,7.08,7.08,0.15,No
1287,Guatemala,Bourbon,6.5,6.5,7.5,7.33,6.83,0.11,No
388,Guatemala,Caturra,7.67,7.5,7.83,7.58,7.5,0.1,Yes
1161,Mexico,Typica,7.42,6.83,7.58,7.17,6.58,0.12,No
1063,Brazil,Bourbon,7.42,7.33,7.0,7.08,7.25,0.0,No
878,Other,Other,7.42,7.25,7.42,7.5,7.42,0.12,No
841,Mexico,Catuai,7.58,7.33,7.5,7.17,7.33,0.11,No
243,Guatemala,Caturra,7.67,7.58,7.92,7.75,7.67,0.12,Yes
919,Taiwan,Typica,7.42,7.67,7.33,7.42,7.5,0.11,No
737,Brazil,Other,7.42,7.5,7.08,7.5,7.42,0.0,No
1217,Taiwan,Typica,6.83,7.17,7.25,7.0,6.92,0.1,No
322,Colombia,Caturra,7.5,7.5,7.75,7.67,7.67,0.11,Yes
1055,Colombia,Caturra,7.67,7.42,7.67,7.5,7.75,0.0,No
960,Mexico,Typica,7.33,7.17,7.42,7.58,7.33,0.12,No
427,Guatemala,Caturra,7.5,7.58,7.67,7.67,7.5,0.1,Yes
1269,Other,Other,7.33,6.5,6.08,7.58,6.33,0.12,No
372,Guatemala,Bourbon,7.5,7.75,7.5,8.0,7.67,0.0,Yes
1028,Mexico,Typica,7.58,7.08,7.5,7.17,7.25,0.13,No
448,Other,Other,7.67,7.5,7.67,7.42,7.58,0.1,Yes
844,Taiwan,Typica,7.67,7.17,7.25,7.75,7.33,0.0,No
706,Brazil,Catuai,7.33,7.5,7.33,7.5,7.5,0.11,No
977,Other,Typica,7.25,7.25,7.08,7.58,7.5,0.0,No
809,Brazil,Other,7.42,7.33,7.5,7.33,7.5,0.12,No
541,Mexico,Typica,7.83,7.25,7.58,7.5,7.5,0.13,Yes
579,Guatemala,Caturra,7.58,7.5,7.58,7.5,7.42,0.11,Yes
200,Colombia,Caturra,7.42,7.83,7.75,7.92,7.83,0.12,Yes
1322,Other,Other,7.67,7.75,7.5,7.75,7.58,0.11,No
684,Guatemala,Caturra,7.5,7.5,7.67,7.42,7.5,0.1,No
1042,Other,Caturra,7.25,7.17,7.33,7.33,7.17,0.11,No
166,Mexico,Typica,8.0,7.42,8.08,7.5,7.67,0.12,Yes
242,Other,Caturra,7.42,7.75,7.92,7.75,7.58,0.1,Yes
1162,Mexico,Caturra,7.33,7.0,6.75,7.08,7.0,0.13,No
1107,Other,Catuai,7.25,7.0,7.17,7.08,7.08,0.11,No
297,Colombia,Caturra,7.83,7.58,7.58,7.58,7.58,0.11,Yes
771,Colombia,Caturra,7.33,7.25,7.58,7.75,7.5,0.0,No
182,Other,Catuai,7.58,7.58,7.75,7.92,7.75,0.11,Yes
859,Guatemala,Bourbon,7.5,7.25,7.42,7.42,7.33,0.11,No
965,Other,Catuai,7.42,7.17,7.5,7.33,7.25,0.12,No
866,Mexico,Caturra,7.33,7.33,7.67,7.42,7.25,0.12,No
634,Taiwan,Typica,7.67,7.5,7.42,7.58,7.5,0.11,Yes
546,Guatemala,Bourbon,7.75,7.42,7.58,7.67,7.5,0.1,Yes
1282,Mexico,Typica,7.33,6.67,7.25,7.5,7.0,0.12,No
836,Other,Other,7.75,7.58,7.75,7.92,7.83,0.11,No
902,Brazil,Other,7.42,7.33,7.33,7.5,7.25,0.12,No
1169,Other,Caturra,6.92,7.0,7.42,7.25,7.0,0.12,No
175,Taiwan,Typica,7.83,7.75,8.0,7.5,7.75,0.11,Yes
202,Other,Other,7.83,7.75,7.75,7.67,7.75,0.12,Yes
366,Colombia,Caturra,7.58,7.58,7.75,7.58,7.75,0.11,Yes
367,Mexico,Bourbon,7.83,7.25,7.5,7.5,7.42,0.13,Yes
1174,Guatemala,Bourbon,7.08,7.25,7.58,7.33,7.42,0.1,No
1171,Colombia,Caturra,7.83,7.42,7.42,7.67,7.5,0.0,No
752,Colombia,Caturra,7.5,7.67,7.33,7.58,7.33,0.12,No
164,Guatemala,Bourbon,8.17,7.67,7.83,7.67,7.83,0.11,Yes
574,Mexico,Bourbon,7.67,7.42,7.75,7.42,7.42,0.12,Yes
268,Colombia,Caturra,7.75,7.67,7.83,7.83,7.67,0.0,Yes
988,Other,Other,7.33,7.33,7.42,7.33,7.33,0.11,No
336,Guatemala,Caturra,7.75,7.5,7.83,7.58,7.58,0.11,Yes
812,Brazil,Other,7.58,7.17,7.5,7.5,7.42,0.12,No
600,Mexico,Typica,7.58,7.33,7.75,7.25,7.58,0.12,Yes
772,Mexico,Typica,7.5,7.0,7.5,7.33,7.5,0.15,No
1241,Mexico,Other,7.25,7.0,7.0,7.25,7.08,0.12,No
1276,Mexico,Other,7.5,6.92,7.0,7.17,6.83,0.11,No
239,Other,Other,7.92,7.83,8.0,7.92,7.92,0.09,Yes
1178,Colombia,Caturra,7.42,6.75,7.25,7.42,7.25,0.0,No
113,Brazil,Catuai,8.0,7.75,8.0,7.5,7.75,0.12,Yes
641,Other,Other,7.75,7.33,7.5,7.58,7.5,0.12,Yes
945,Mexico,Caturra,7.42,7.25,7.17,7.25,7.42,0.13,No
194,Guatemala,Caturra,7.75,7.58,7.92,7.75,7.75,0.11,Yes
753,Colombia,Caturra,7.67,7.33,7.33,7.5,7.5,0.11,No
244,Colombia,Other,7.67,7.83,7.58,7.58,7.83,0.11,Yes
1110,Mexico,Typica,7.58,7.33,7.5,7.08,7.17,0.14,No
658,Other,Caturra,7.33,7.5,7.5,7.67,7.5,0.11,Yes
896,Guatemala,Bourbon,7.42,7.08,7.5,7.42,7.33,0.12,No
